ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,traffic,trafficP,drink,drinkP,lead,leadP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,pov,povP,unemp,unempP,housingB,housingBP
0.03419029,10.56627256,7.567723582,10.03111388,0.154572827,52.40821406,1705.21702,92.03448276,1089.731518,63.4,246.3726714,11.16523042,39.31055783,36.11846251,0.44,64.76505625,9,77.29945401,0,0,40.72736404,4.97280306,45.00311139,82.18,86.65254237,6.01,75.32717475,12.69,52.00648056,30.4,80.66312326,57.5,89.66080402,3.1,18.31077564,21.6,69.15082383
0.03521715,11.56191661,7.624774881,10.4542626,0.106087591,39.36527691,31524.11322,99.5862069,486.0378493,19.9,441.0587409,52.82877482,44.64199417,43.80592313,2.8,95.55261416,10,82.96934061,18,97.64032073,53.86903559,6.577398545,79.96266335,48.8,54.79810568,4,26.63587375,7.6,10.81754736,44,92.87522146,51,83.04020101,7.2,69.13066111,19.3,60.10139417
0.03419029,10.56627256,7.548835273,9.931549471,0.190474185,60.31113877,2328.797488,93.82758621,779.381302,42.75,246.3726714,11.16523042,66.73805588,75.07246377,0.135,23.71939113,9,77.29945401,4,70.42382589,40.37582211,4.92987986,43.85812072,82.18,86.65254237,4.95,51.01360021,12.69,52.00648056,30.2,80.46064288,29.4,52.87688442,4.3,35.02082249,17.9,53.62484157
0.036244,13.61543248,7.660569906,10.65339141,0.091384366,34.27504667,3237.522481,95.4137931,744.7092539,39.925,335.2215447,32.55901087,18.81221358,11.07750473,0.2,35.6187955,0,0,0,0,22.96379573,2.803874898,6.098319851,41.11,43.3449651,2.65,5.683859379,10.31,32.41525424,2.9,10.3138446,8.8,7.550251256,6.1,58.35502343,10.6,16.31178707
0.036244,13.61543248,7.66321049,10.69072806,0.05097617,18.48164281,14.98837041,63.24137931,544.0407625,24.3625,335.2215447,32.55901087,48.5591678,49.51480781,0.21,37.68365321,0,0,1,35.71592211,23.37974375,2.854662068,6.583696329,41.11,43.3449651,6.22,79.27893251,10.31,32.41525424,10.1,42.29309036,20.4,35.15075377,12.1,92.39979178,9.5,12.00253485
0.036244,13.61543248,7.724757236,11.12632234,0.090448423,33.80211574,6973.794746,97.75862069,717.6584971,37.6,336.4333828,32.73385787,35.56429128,31.24133585,0.1,16.63798809,0,0,0,0,24.13116612,2.94641059,7.380211574,41.11,43.3449651,4.43,36.65640236,10.31,32.41525424,7.2,30.86560364,15.6,23.3040201,5.6,52.5247267,11,18.46641318
0.03521715,11.56191661,7.688175461,10.85252022,0.112023425,40.8338519,3464.58876,95.79310345,1085.750683,63.1375,330.286439,31.52241788,23.93200464,16.72337744,1.42,89.79483786,9,77.29945401,0,0,41.05201417,5.012442776,45.87429994,40.26,41.87437687,3.72,20.51578137,9.93,29.37437687,7,30.03037206,24.2,42.90201005,1.5,3.214471629,13.2,29.1634981
0.0482775,55.38270068,8.454582099,21.68014935,0.034915173,12.45799627,1563.663625,91.68965517,127.6585522,1.8,279.8527104,18.65867366,76.13088861,85.78449905,0.2,35.6187955,9,77.29945401,2.7,60.11454754,43.73927605,5.340556918,53.35407592,41.35,43.75623131,2.07,2.29663844,20.86,89.94267198,24.2,71.75398633,35.1,61.90954774,3.6,25.23425299,10.2,14.68948035
0.04513184,40,8.53064414,23.57187306,0.041391347,14.85998755,1706.076403,92.10344828,164.1711142,2.8125,214.2611775,8.530036218,54.2557484,57.58034026,0.25,43.29583058,13,91.87316254,7,83.27605956,46.11976498,5.631214143,59.88799004,41.99,44.72831505,4.79,46.49730562,21.17,91.1889332,18.6,62.38926854,37.5,65.41457286,2.8,14.39354503,11.8,22.10392902
0.04268688,29.91910392,6.133096342,3.65899191,0.010926077,4.194150591,670.6994019,86.89655172,119.9074685,1.6,279.1680336,18.54627201,49.46601434,50.88846881,0.01,1.800132363,13,91.87316254,15.2,96.21993127,31.81518967,3.88462834,21.56813939,37.92,37.77417747,4.29,33.43597639,14.61,64.23230309,24.3,71.88053657,37.8,65.84170854,4.4,36.4393545,8,6.894803549
